session_name,mode,trial_idx,t_rel_s,tcp_pos_x_m,tcp_pos_y_m,tcp_pos_z_m,tcp_quat_x,tcp_quat_y,tcp_quat_z,tcp_quat_w,joint1_deg,joint2_deg,joint3_deg,joint4_deg,joint5_deg,joint6_deg
P01,freedrive,0,0.015383481979370117,-0.3995625078678131,0.190985307097435,0.2448224127292633,0.04003296318998496,-0.7060657561540374,0.7061720312329913,-0.03449017467523113,-90.89581960753686,-72.16143444698376,-154.27531327377557,-132.72246808243182,263.41099915320405,179.0930788305837
P01,freedrive,0,0.11553835868835449,-0.3996145725250244,0.1909409612417221,0.24491332471370697,0.040128538609730285,-0.7059568474624976,0.7062794277868552,-0.0344092980883329,-90.91062745765745,-72.16047480540539,-154.26745855623005,-132.7144084592112,263.3947979444928,179.08003316926897
P01,freedrive,0,0.23137235641479492,-0.3996026813983917,0.19095493853092194,0.24489478766918182,0.04014595715678534,-0.7059690563223922,0.7062654106249037,-0.03442620214419502,-90.90896089149996,-72.16068141862777,-154.26943931108937,-132.7144084592112,263.3937051142256,179.07982826359387
P01,freedrive,0,0.33241939544677734,-0.3996044099330902,0.1909603327512741,0.24488960206508636,0.04014587532956532,-0.7059708467332418,0.7062641611997243,-0.03441521264822296,-90.90896089149996,-72.16068141862777,-154.27012233000636,-132.713998647861,263.39460669919606,179.07892667862345
P01,freedrive,0,0.44812989234924316,-0.3995983600616455,0.19094407558441162,0.24490393698215485,0.04015057096229553,-0.7059558515313723,0.7062781934450815,-0.03442935962182058,-90.90808662728621,-72.16047480540539,-154.26882459406406,-132.71312438364723,263.39392368027904,179.07982826359387
P01,freedrive,0,0.5481994152069092,-0.3995989263057709,0.1909593641757965,0.24489465355873108,0.04014886869832565,-0.705965153261219,0.7062688985275255,-0.03443128948825243,-90.90830519333964,-72.15979178648838,-154.27012233000636,-132.713998647861,263.3937051142256,179.08003316926897
P01,freedrive,0,0.6485409736633301,-0.3995957672595978,0.1909545511007309,0.24489504098892212,0.04015834900613146,-0.7059699118602956,0.7062631071005389,-0.03444145905389214,-90.90830519333964,-72.16047480540539,-154.26943931108937,-132.71487291207475,263.39212051033815,179.08003316926897
P01,freedrive,0,0.7649822235107422,-0.3995993733406067,0.1909589171409607,0.24489504098892212,0.040147576705016154,-0.7059640327726202,0.7062701622298939,-0.03442984838614549,-90.90830519333964,-72.15979178648838,-154.27012233000636,-132.71380740256424,263.39392368027904,179.08003316926897
P01,freedrive,0,0.8651654720306396,-0.3995988368988037,0.19096294045448303,0.24488681554794312,0.04014130606452935,-0.7059818373807212,0.7062522636489942,-0.034439235279636146,-90.90830519333964,-72.16047480540539,-154.27012233000636,-132.71596574234195,263.3937051142256,179.08112599953617
P01,freedrive,0,0.9651679992675781,-0.39959049224853516,0.19094905257225037,0.24489721655845642,0.040161400675179135,-0.7059588369343531,0.7062737878745372,-0.03444588526161477,-90.90718504231576,-72.16047480540539,-154.26964421676445,-132.7129058175938,263.3926122839584,179.08023807494408
P01,freedrive,0,1.065241813659668,-0.39959970116615295,0.19094054400920868,0.24491345882415771,0.04015250437074368,-0.7059513212762947,0.7062828423050082,-0.034424628488484606,-90.90830519333964,-72.15958517326598,-154.26811425439038,-132.713998647861,263.39392368027904,179.07933648997363
P01,freedrive,0,1.1817853450775146,-0.39959225058555603,0.19096073508262634,0.24489225447177887,0.04016250830930104,-0.7059738788009876,0.7062590870323784,-0.03443773164982288,-90.90737628761252,-72.15958517326598,-154.27012233000636,-132.7157744970452,263.3930220953086,179.07933648997363
P01,freedrive,0,1.2819514274597168,-0.399603009223938,0.19096410274505615,0.2448931783437729,0.04013899307721312,-0.7059725464066949,0.7062621057685969,-0.034430551986594386,-90.90896089149996,-72.15958517326598,-154.27012233000636,-132.71531004418165,263.39392368027904,179.080716188186
P01,freedrive,0,1.3985891342163086,-0.39959943294525146,0.19096359610557556,0.24489004909992218,0.04014611456607272,-0.70596102044569,0.7062734679811408,-0.03442550685785778,-90.90808662728621,-72.15979178648838,-154.27101025459845,-132.71241404397355,263.39460669919606,179.07982826359387
P01,freedrive,0,1.4987609386444092,-0.39960360527038574,0.19095659255981445,0.24489463865756989,0.04014562832240884,-0.7059597998620974,0.7062745123878293,-0.034429676974961056,-90.90937070285017,-72.16067971108048,-154.26991742433125,-132.71241404397355,263.3930220953086,179.08023807494408
P01,freedrive,0,1.6153528690338135,-0.3996012806892395,0.1909593939781189,0.24489834904670715,0.0401422936688548,-0.7059630689950446,0.7062712846104862,-0.03443274616923627,-90.90871500468984,-72.15938026759089,-154.26991742433125,-132.71421721391442,263.3937051142256,179.080716188186
P01,freedrive,0,1.7154202461242676,-0.3995988965034485,0.19095967710018158,0.24488995969295502,0.04014557989219145,-0.7059720187889467,0.706262054991628,-0.03443473219267926,-90.90830519333964,-72.16047480540539,-154.27012233000636,-132.7144084592112,263.3937051142256,179.08051128251088
