session_name,mode,trial_idx,t_rel_s,tcp_pos_x_m,tcp_pos_y_m,tcp_pos_z_m,tcp_quat_x,tcp_quat_y,tcp_quat_z,tcp_quat_w,joint1_deg,joint2_deg,joint3_deg,joint4_deg,joint5_deg,joint6_deg
P01,freedrive,0,0.019068241119384766,-0.3976552486419678,0.20893220603466034,0.23274612426757812,-0.03989017716057997,0.7063723137928126,-0.7058854630590149,0.03424384784228712,-90.38005836293085,-71.24031172042126,-156.54885102204102,-131.41921334728002,263.95886228690915,179.07452803679794
P01,freedrive,0,0.13352560997009277,-0.39751046895980835,0.20796945691108704,0.23353512585163116,0.04007218839345677,-0.7057993519832225,0.7064417112497793,-0.034374453652471264,-90.35038802117633,-71.24031172042126,-156.4571079211094,-131.4196504793869,263.9620588154407,179.07473294247305
P01,freedrive,0,0.2495582103729248,-0.3975345492362976,0.20626819133758545,0.23508107662200928,0.04010469722332793,-0.7046927604756165,0.7075482401098195,-0.03428140182923844,-90.3521911911172,-71.2393930599779,-156.27866239885367,-131.41943191333345,263.9629877211678,179.07404992355603
P01,freedrive,0,0.3670196533203125,-0.39754363894462585,0.2056991159915924,0.23559461534023285,0.04012384282738498,-0.7043242484505816,0.7079157263368085,-0.0342455060747468,-90.35328402138441,-71.24031172042126,-156.21895288512943,-131.4185576491197,263.96252326830427,179.07275218761373
P01,freedrive,0,0.4881315231323242,-0.3975537419319153,0.20235243439674377,0.2386397421360016,0.04022393695477711,-0.7021633294640572,0.7100587990261674,-0.03413496121756716,-90.35098907782329,-71.24119452237149,-155.86760795422396,-131.41973244165695,263.9613757965237,179.07404992355603
P01,freedrive,0,0.5996990203857422,-0.3975539803504944,0.19496537744998932,0.24548804759979248,0.04047631841764562,-0.6973245138526222,0.7148090595468747,-0.033885076615970386,-90.34101700163507,-71.24216099413904,-155.08660314338968,-131.42175417765125,263.9613757965237,179.07404992355603
P01,freedrive,0,0.699744462966919,-0.3975330591201782,0.18528278172016144,0.254718154668808,0.04082420950529461,-0.6908736414538983,0.7210406854733808,-0.03357566610769289,-90.324542585357,-71.24737072092847,-154.04868759711454,-131.4253878382897,263.9613757965237,179.07425482923114
P01,freedrive,0,0.8013882637023926,-0.39754191040992737,0.17649270594120026,0.26328402757644653,0.04112257100323183,-0.6849778952131232,0.7266421979364229,-0.03324655473290438,-90.31511692430237,-71.26981813763572,-153.09116337737046,-131.4274642157974,263.9606927776067,179.0718506026433
P01,freedrive,0,0.9165492057800293,-0.39754730463027954,0.16924986243247986,0.2703844904899597,0.041344884595179814,-0.6801686256022931,0.7311444845358767,-0.03299975752738286,-90.30738515016192,-71.31170085762624,-152.29427154652674,-131.42653531007028,263.95998243793304,179.07295709328884
P01,freedrive,0,1.033463716506958,-0.3973434865474701,0.15756765007972717,0.28201571106910706,0.04190456504514882,-0.6723897472889178,0.7382812517311417,-0.032815065311845165,-90.26115842985928,-71.39410025977327,-150.9991993780006,-131.42855704606458,263.95839783404557,179.07295709328884
P01,freedrive,0,1.1499645709991455,-0.3966295123100281,0.14693324267864227,0.2916494607925415,0.0428524349852186,-0.6662913517985692,0.7437155794916529,-0.03326620140123674,-90.14214921376097,-71.60833085063801,-149.84687816312777,-131.4315623292994,263.949737154178,179.07316199896394
P01,freedrive,0,1.2499773502349854,-0.39339107275009155,0.1361495852470398,0.2977025806903839,0.046494700628175664,-0.6631897775432268,0.7460910180324052,-0.036956117044826285,-89.69348774756118,-72.1766418631708,-148.83613310937093,-131.43729968820222,263.7952382751523,179.07493784814815
P01,freedrive,0,1.3500986099243164,-0.3864831030368805,0.12676452100276947,0.2985208034515381,0.05530958963983241,-0.6637203208863462,0.7445027880764079,-0.04617124086327237,-88.86752663160988,-73.05056115237934,-148.15215796588586,-131.43863840527953,263.15669755002614,179.07425482923114
P01,freedrive,0,1.4667260646820068,-0.378958523273468,0.1175849437713623,0.29625728726387024,0.0630554976950071,-0.6667156530770592,0.740614442187643,-0.054813229931757274,-87.90761184565628,-74.19582678183957,-147.58433701942602,-131.43885697133297,262.79122778791714,179.07404992355603
P01,freedrive,0,1.5667839050292969,-0.3736947476863861,0.11012385040521622,0.2922293245792389,0.06704107485698228,-0.6711353473150627,0.7358790431593984,-0.05970656333368167,-87.195988096411,-75.38329102753943,-147.15357064885166,-131.43617953717833,262.79169224078066,179.07316199896394
P01,freedrive,0,1.6669220924377441,-0.3705284595489502,0.10443433374166489,0.2893671989440918,0.06938310819141144,-0.6743655308348475,0.7324652784313007,-0.06254383272625987,-86.79442761472761,-76.30060506986601,-146.78110677303252,-131.43658934852854,262.7800262776783,179.0720555083184
P01,freedrive,0,1.7670488357543945,-0.3654421865940094,0.09814957529306412,0.2888748347759247,0.07493686046940257,-0.6751644715847672,0.7306545489854369,-0.06842026965409659,-86.23754863131812,-76.98435652465577,-146.3202875701101,-131.43729968820222,262.4088737981798,179.07493784814815
P01,freedrive,0,1.8839271068572998,-0.3567562997341156,0.08957114815711975,0.28960463404655457,0.08556593276293128,-0.6744995169835213,0.7290057596842051,-0.079243139051031,-85.36194570047917,-77.74706923511911,-145.6597536358565,-131.43773682030908,261.5353745656052,179.07295709328884
P01,freedrive,0,1.9861845970153809,-0.34779784083366394,0.08044124394655228,0.2876985967159271,0.09336571169415382,-0.6761950686820912,0.7254990163679834,-0.08771687533738583,-84.33457596628253,-78.80909705671168,-145.03708627036147,-131.4384198392261,261.24003718589387,179.07316199896394
P01,freedrive,0,2.1002559661865234,-0.33771803975105286,0.0697278082370758,0.2797505855560303,0.10023644345260209,-0.6829313485066432,0.7172413310027163,-0.09551074144997107,-83.15333573046385,-80.68047753551502,-144.39708388475293,-131.4391028581431,261.24181303507805,179.0727385272354
P01,freedrive,0,2.2169103622436523,-0.33161646127700806,0.06506399065256119,0.26878657937049866,0.10448841966604222,-0.6916008138562575,0.7076152709362463,-0.10025523810194738,-82.44173930197523,-82.31618404455438,-144.25433293109967,-131.4384198392261,261.23981861984043,179.07404992355603
