timestamp,participant_id,trial,condition,event,tool_id,elapsed_s,hand_to_target_m,success
2026-08-26T16:40:13.420-04:00,joon,0,ar_preview,robot_clicked_software_stop,,,,0
2026-08-26T16:51:29.488-04:00,joon,1,ar_preview,trial_started,18,,,
2026-08-26T16:51:57.374-04:00,joon,1,ar_preview,grasp_failed,18,,,0
2026-08-26T16:54:15.362-04:00,joon,1,ar_preview,trial_started,19,,,
2026-08-26T16:54:27.208-04:00,joon,1,ar_preview,grasp_complete,19,,,1
2026-08-26T16:54:27.221-04:00,joon,1,ar_preview,handover_motion_started,19,,,
2026-08-26T16:54:29.801-04:00,joon,1,ar_preview,handover_preview_invalid,19,,,0
2026-08-26T16:54:35.695-04:00,joon,1,ar_preview,handover_preview_invalid,19,,,0
2026-08-26T16:54:44.140-04:00,joon,1,ar_preview,handover_preview_invalid,19,,,0
2026-08-26T16:54:48.345-04:00,joon,1,ar_preview,handover_preview_invalid,19,,,0
2026-08-26T16:54:51.354-04:00,joon,1,ar_preview,robot_arrival_failed,19,24.132641,0.305225,0
2026-08-26T16:54:51.360-04:00,joon,1,ar_preview,handover_preview_invalid,19,,,0
2026-08-26T16:54:53.386-04:00,joon,1,ar_preview,handover_motion_started,19,,,
2026-08-26T16:54:53.897-04:00,joon,1,ar_preview,handover_preview_invalid,19,,,0
2026-08-26T16:55:03.554-04:00,joon,1,ar_preview,robot_clicked_controller_stop,19,,,0
2026-08-26T16:55:04.589-04:00,joon,1,ar_preview,robot_clicked_controller_stop,19,,,0
2026-08-26T16:55:05.655-04:00,joon,1,ar_preview,robot_clicked_controller_stop,19,,,0
2026-08-26T16:55:06.301-04:00,joon,1,ar_preview,robot_clicked_controller_stop,19,,,0
2026-08-26T16:55:07.857-04:00,joon,1,ar_preview,robot_clicked_controller_stop,19,,,0
2026-08-26T16:55:08.912-04:00,joon,1,ar_preview,robot_clicked_controller_stop,19,,,0
2026-08-26T16:55:10.145-04:00,joon,1,ar_preview,robot_clicked_controller_stop,19,,,0
2026-08-26T16:55:10.629-04:00,joon,1,ar_preview,robot_arrival_failed,19,17.243215,,0
2026-08-26T16:58:36.085-04:00,joon,1,ar_preview,trial_started,19,,,
2026-08-26T16:58:49.699-04:00,joon,1,ar_preview,grasp_complete,19,,,1
2026-08-26T16:58:49.712-04:00,joon,1,ar_preview,handover_motion_started,19,,,
2026-08-26T16:58:51.999-04:00,joon,1,ar_preview,handover_preview_invalid,19,,,0
2026-08-26T16:59:05.448-04:00,joon,1,ar_preview,handover_preview_invalid,19,,,0
2026-08-26T16:59:07.446-04:00,joon,1,ar_preview,handover_preview_invalid,19,,,0
2026-08-26T16:59:09.028-04:00,joon,1,ar_preview,robot_clicked_controller_stop,19,,,0
2026-08-26T16:59:10.699-04:00,joon,1,ar_preview,robot_clicked_controller_stop,19,,,0
2026-08-26T16:59:12.455-04:00,joon,1,ar_preview,robot_clicked_controller_stop,19,,,0
2026-08-26T16:59:14.521-04:00,joon,1,ar_preview,robot_clicked_controller_stop,19,,,0
2026-08-26T16:59:15.339-04:00,joon,1,ar_preview,robot_clicked_controller_stop,19,,,0
2026-08-26T16:59:15.726-04:00,joon,1,ar_preview,robot_clicked_controller_stop,19,,,0
2026-08-26T16:59:16.358-04:00,joon,1,ar_preview,robot_arrival_failed,19,26.645626,,0
2026-08-26T17:01:15.588-04:00,joon,1,ar_preview,trial_started,19,,,
2026-08-26T17:01:29.079-04:00,joon,1,ar_preview,grasp_complete,19,,,1
2026-08-26T17:01:29.084-04:00,joon,1,ar_preview,handover_motion_started,19,,,
2026-08-26T17:01:48.731-04:00,joon,1,ar_preview,handover_preview_invalid,19,,,0
2026-08-26T17:01:52.575-04:00,joon,1,ar_preview,handover_preview_invalid,19,,,0
2026-08-26T17:01:59.030-04:00,joon,1,ar_preview,robot_clicked_controller_stop,19,,,0
2026-08-26T17:02:01.255-04:00,joon,1,ar_preview,robot_clicked_controller_stop,19,,,0
2026-08-26T17:02:02.420-04:00,joon,1,ar_preview,robot_clicked_controller_stop,19,,,0
2026-08-26T17:02:05.948-04:00,joon,1,ar_preview,robot_arrival_failed,19,36.864427,,0
2026-08-26T18:04:28.545-04:00,joon,1,ar_preview,trial_started,19,,,
2026-08-26T18:04:42.167-04:00,joon,1,ar_preview,grasp_complete,19,,,1
2026-08-26T18:04:42.188-04:00,joon,1,ar_preview,handover_motion_started,19,,,
