run_timestamp,model_alias,model_id,index,description,referring_type,traits_used,target_name,prediction,correct,invalid_output,strict_correct,raw_model_answer,inference_seconds,error
2026-08-22T22:25:52,gemma4-e2b,google/gemma-4-E2B-it,1,the gearbox mounting plate,technical_name,technical_name,BASE_BOARD,BASE_BOARD,True,False,True,BASE_BOARD,1.8722,
2026-08-22T22:25:52,gemma4-e2b,google/gemma-4-E2B-it,2,the large flat black rectangular plate,shape,size|color|shape,BASE_BOARD,BASE_BOARD,True,False,True,BASE_BOARD,0.5691,
2026-08-22T22:25:52,gemma4-e2b,google/gemma-4-E2B-it,3,the base plate underneath all four colored rows,spatial,spatial,BASE_BOARD,BASE_BOARD,True,False,True,BASE_BOARD,0.5657,
2026-08-22T22:25:52,gemma4-e2b,google/gemma-4-E2B-it,4,the plate to which all eight bearing support brackets are screwed,relationship,relationship|function,BASE_BOARD,BASE_BOARD,True,False,True,BASE_BOARD,0.5650,
2026-08-22T22:25:52,gemma4-e2b,google/gemma-4-E2B-it,5,the large black rectangular mounting plate below every gear shaft and stand,mixed,size|color|shape|spatial|relationship,BASE_BOARD,BASE_BOARD,True,False,True,BASE_BOARD,0.5652,
2026-08-22T22:25:52,gemma4-e2b,google/gemma-4-E2B-it,6,the rigid plate that supports and locates every gearbox row,function,function|relationship,BASE_BOARD,BASE_BOARD,True,False,True,BASE_BOARD,0.5635,
2026-08-22T22:25:52,gemma4-e2b,google/gemma-4-E2B-it,7,"the broad black rectangular base beneath the white, red, green, and blue mechanisms",mixed,size|color|shape|spatial,BASE_BOARD,BASE_BOARD,True,False,False,"```text
BASE_BOARD
```",0.6604,
2026-08-22T22:25:52,gemma4-e2b,google/gemma-4-E2B-it,8,black baseboard,mixed,color|technical_name,BASE_BOARD,BASE_BOARD,True,False,True,BASE_BOARD,0.5671,
2026-08-22T22:25:52,gemma4-e2b,google/gemma-4-E2B-it,9,gearbox base,technical_name,technical_name,BASE_BOARD,BASE_BOARD,True,False,True,BASE_BOARD,0.5660,
2026-08-22T22:25:52,gemma4-e2b,google/gemma-4-E2B-it,10,mounting plate,technical_name,technical_name,BASE_BOARD,BASE_BOARD,True,False,True,BASE_BOARD,0.5661,
2026-08-22T22:25:52,gemma4-e2b,google/gemma-4-E2B-it,11,the radial shaft-support bearing,technical_name,technical_name,BEARING,BEARING,True,False,True,BEARING,0.5468,
2026-08-22T22:25:52,gemma4-e2b,google/gemma-4-E2B-it,12,the small black circular ring with a center hole,shape,size|color|shape,BEARING,BEARING,True,False,True,BEARING,0.5600,
2026-08-22T22:25:52,gemma4-e2b,google/gemma-4-E2B-it,13,the round black part centered inside a bearing support bracket,spatial,color|shape|spatial,BEARING,BEARING,True,False,True,BEARING,0.5861,
2026-08-22T22:25:52,gemma4-e2b,google/gemma-4-E2B-it,14,the bearing through which a gear shaft passes,relationship,relationship|function,BEARING,BEARING,True,False,True,BEARING,0.5570,
2026-08-22T22:25:52,gemma4-e2b,google/gemma-4-E2B-it,15,the small black ring-shaped bearing that fits into each colored stand,mixed,size|color|shape|relationship,BEARING,BEARING,True,False,True,BEARING,0.5485,
