timestamp,participant_id,condition,event_type,modality,step_id,step_title,step_state,step_attempt,step_event_index,tool_id,tool_name,part_elapsed_s,step_elapsed_s,head_translation_m,head_rotation_deg,correct,transcript,vlm_prediction,vlm_raw,graph_decision,spoken_response,state_json
2026-09-01T14:54:47.327-04:00,mahya,language,step_started,keyboard,r1_bearing_right,Row 1.1: bearing into right stand,ready,1,1,,,,,,,,,,,,,"{""acquired_tool_ids"": [], ""acquisition_complete"": false, ""completed_steps"": [], ""head_rotation_deg"": null, ""head_translation_m"": null, ""removed_tool_ids"": [], ""selected_step"": ""r1_bearing_right"", ""step_attempt"": 1, ""step_elapsed_s"": 6.0041958931833506e-05, ""step_event_index"": 1, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [19, 35]}"
2026-09-01T14:54:57.782-04:00,mahya,language,vlm_interaction,language,r1_bearing_right,Row 1.1: bearing into right stand,ready,1,2,,,,,,,,Can you give me the gear stand row one right side?,STAND_ROW1_RIGHT,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""direct"",""step_scope"":"""",""target"":""STAND_ROW1_RIGHT"",""candidates"":[],""exclude_labels"":[]}",language_grounded,I identified and highlighted the Row 1 right stand.,"{""acquired_tool_ids"": [], ""acquisition_complete"": false, ""completed_steps"": [], ""head_rotation_deg"": null, ""head_translation_m"": null, ""removed_tool_ids"": [], ""selected_step"": ""r1_bearing_right"", ""step_attempt"": 1, ""step_elapsed_s"": 10.455191853980068, ""step_event_index"": 2, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [19, 35]}"
2026-09-01T14:54:57.809-04:00,mahya,language,part_selection,language,r1_bearing_right,Row 1.1: bearing into right stand,ready,1,3,19,GEAR_STAND_ROW1_RIGHT,10.482246,10.482246,,,1,,,,,,"{""acquired_tool_ids"": [19], ""acquisition_complete"": false, ""completed_steps"": [], ""head_rotation_deg"": null, ""head_translation_m"": null, ""removed_tool_ids"": [], ""selected_step"": ""r1_bearing_right"", ""step_attempt"": 1, ""step_elapsed_s"": 10.482302893011365, ""step_event_index"": 3, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [19, 35]}"
2026-09-01T14:54:57.842-04:00,mahya,language,object_acquired,language,r1_bearing_right,Row 1.1: bearing into right stand,ready,1,4,19,GEAR_STAND_ROW1_RIGHT,10.482246,10.482246,,,1,,,,,,"{""acquired_tool_ids"": [19], ""acquisition_complete"": false, ""completed_steps"": [], ""head_rotation_deg"": null, ""head_translation_m"": null, ""removed_tool_ids"": [], ""selected_step"": ""r1_bearing_right"", ""step_attempt"": 1, ""step_elapsed_s"": 10.51535329798935, ""step_event_index"": 4, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [19, 35]}"
2026-09-01T14:55:10.354-04:00,mahya,language,vlm_interaction,language,r1_bearing_right,Row 1.1: bearing into right stand,ready,1,5,,,,,,,,Can you give me the bearing for Rovan?,AMBIGUOUS,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""direct"",""step_scope"":"""",""target"":""AMBIGUOUS"",""candidates"":[""BEARING_ROW1"",""BEARING_ROW2"",""BEARING_ROW3"",""BEARING_ROW4""],""exclude_labels"":[]}",language_ambiguous,Which row are you assembling?,"{""acquired_tool_ids"": [19], ""acquisition_complete"": false, ""completed_steps"": [], ""head_rotation_deg"": null, ""head_translation_m"": null, ""removed_tool_ids"": [], ""selected_step"": ""r1_bearing_right"", ""step_attempt"": 1, ""step_elapsed_s"": 23.02753479295643, ""step_event_index"": 5, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [19, 35]}"
2026-09-01T14:55:21.826-04:00,mahya,language,vlm_interaction,language,r1_bearing_right,Row 1.1: bearing into right stand,ready,1,6,,,,,,,,Can you give me the bearing for Brow One Bright Side?,BEARING_ROW1,"{""intent"":""part_reference"",""part_action"":""fetch"",""reference_relation"":""alternative_to_previous"",""step_scope"":"""",""target"":""AMBIGUOUS"",""candidates"":[""BEARING_ROW1_LEFT"",""BEARING_ROW1_RIGHT""],""exclude_labels"":[]}",language_grounded,I identified and highlighted the Row 1 bearings.,"{""acquired_tool_ids"": [19], ""acquisition_complete"": false, ""completed_steps"": [], ""head_rotation_deg"": null, ""head_translation_m"": null, ""removed_tool_ids"": [], ""selected_step"": ""r1_bearing_right"", ""step_attempt"": 1, ""step_elapsed_s"": 34.49947665800573, ""step_event_index"": 6, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [19, 35]}"
2026-09-01T14:55:21.859-04:00,mahya,language,part_selection,language,r1_bearing_right,Row 1.1: bearing into right stand,ready,1,7,35,ROW1_KIT,24.049623,34.531869,,,1,,,,,,"{""acquired_tool_ids"": [19, 35], ""acquisition_complete"": false, ""completed_steps"": [], ""head_rotation_deg"": null, ""head_translation_m"": null, ""removed_tool_ids"": [], ""selected_step"": ""r1_bearing_right"", ""step_attempt"": 1, ""step_elapsed_s"": 34.53191789396806, ""step_event_index"": 7, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [19, 35]}"
2026-09-01T14:55:21.891-04:00,mahya,language,object_acquired,language,r1_bearing_right,Row 1.1: bearing into right stand,ready,1,8,35,ROW1_KIT,24.049623,34.531869,,,1,,,,,,"{""acquired_tool_ids"": [19, 35], ""acquisition_complete"": false, ""completed_steps"": [], ""head_rotation_deg"": null, ""head_translation_m"": null, ""removed_tool_ids"": [], ""selected_step"": ""r1_bearing_right"", ""step_attempt"": 1, ""step_elapsed_s"": 34.564240956970025, ""step_event_index"": 8, ""trial_finished_elapsed_s"": null, ""trial_recording"": true, ""trial_required_tool_ids"": [19, 35]}"
2026-09-01T14:55:21.904-04:00,mahya,language,step_acquisition_complete,language,r1_bearing_right,Row 1.1: bearing into right stand,ready,1,9,,,,34.575401,0.000000,0.000000,,,,,,,"{""acquired_tool_ids"": [19, 35], ""acquisition_complete"": true, ""completed_steps"": [], ""head_rotation_deg"": 0.0, ""head_translation_m"": 0.0, ""removed_tool_ids"": [19, 35], ""selected_step"": ""r1_bearing_right"", ""step_attempt"": 1, ""step_elapsed_s"": 34.57540140696801, ""step_event_index"": 9, ""trial_finished_elapsed_s"": 34.57540140696801, ""trial_recording"": false, ""trial_required_tool_ids"": [19, 35]}"
2026-09-01T14:55:21.922-04:00,mahya,language,graph_complete,,r1_bearing_right,Row 1.1: bearing into right stand,complete,1,10,,,,,,,,,,,,,"{""acquired_tool_ids"": [19, 35], ""acquisition_complete"": true, ""completed_steps"": [""r1_bearing_right""], ""head_rotation_deg"": 0.0, ""head_translation_m"": 0.0, ""removed_tool_ids"": [19, 35], ""selected_step"": ""r1_bearing_right"", ""step_attempt"": 1, ""step_elapsed_s"": 34.57540140696801, ""step_event_index"": 10, ""trial_finished_elapsed_s"": 34.57540140696801, ""trial_recording"": false, ""trial_required_tool_ids"": [19, 35]}"
